Lexeme               Line   Token                     Value           Parent NT                      Leaf?  Node Symbol
----                 ----   ----                      ----            <singleOrRecId>                no     <option_single_constructed>
----                 ----   TK_EPS                    ----            <moreExpansions>               yes    ----
----                 ----   ----                      ----            <option_single_constructed>    no     <moreExpansions>
----                 ----   ----                      ----            <ioStmt>                       no     <var>
)                    49     TK_CL                     ----            <ioStmt>                       yes    ----
;                    49     TK_SEM                    ----            <ioStmt>                       yes    ----
----                 ----   ----                      ----            <otherStmts>                   no     <stmt>
----                 ----   ----                      ----            <otherStmts>                   no     <otherStmts>
write                50     TK_WRITE                  ----            <ioStmt>                       yes    ----
----                 ----   ----                      ----            <stmt>                         no     <ioStmt>
(                    50     TK_OP                     ----            <ioStmt>                       yes    ----
d4                   50     TK_ID                     ----            <singleOrRecId>                yes    ----
----                 ----   ----                      ----            <var>                          no     <singleOrRecId>
.                    50     TK_DOT                    ----            <oneExpansion>                 yes    ----
----                 ----   ----                      ----            <option_single_constructed>    no     <oneExpansion>
chemistry            50     TK_FIELDID                ----            <oneExpansion>                 yes    ----
----                 ----   ----                      ----            <singleOrRecId>                no     <option_single_constructed>
----                 ----   TK_EPS                    ----            <moreExpansions>               yes    ----
----                 ----   ----                      ----            <option_single_constructed>    no     <moreExpansions>
----                 ----   ----                      ----            <ioStmt>                       no     <var>
)                    50     TK_CL                     ----            <ioStmt>                       yes    ----
;                    50     TK_SEM                    ----            <ioStmt>                       yes    ----
----                 ----   ----                      ----            <otherStmts>                   no     <stmt>
----                 ----   ----                      ----            <otherStmts>                   no     <otherStmts>
----                 ----   TK_EPS                    ----            <otherStmts>                   yes    ----
----                 ----   ----                      ----            <otherStmts>                   no     <otherStmts>
return               51     TK_RETURN                 ----            <returnStmt>                   yes    ----
----                 ----   ----                      ----            <stmts>                        no     <returnStmt>
----                 ----   TK_EPS                    ----            <optionalReturn>               yes    ----
----                 ----   ----                      ----            <returnStmt>                   no     <optionalReturn>
;                    51     TK_SEM                    ----            <returnStmt>                   yes    ----
end                  52     TK_END                    ----            <mainFunction>                 yes    ----
